invoice_and_item_number,date,store_name,city,county,category_name,vendor_name,item_description,state_bottle_retail,bottles_sold,sale_dollars
INV-79704200006,2025-02-17,PRIMESTAR / MARENGO,MARENGO,IOWA,AMERICAN FLAVORED VODKA,PHILLIPS BEVERAGE,UV RED CHERRY,11.25,2,22.5
INV-78557900020,2025-01-13,CASEY'S GENERAL STORE #2769 / WILLIAMSBURG,WILLIAMSBURG,IOWA,NEUTRAL GRAIN SPIRITS FLAVORED,OLE SMOKY DISTILLERY LLC,OLE SMOKY BUTTER PECAN MOONSHINE,19.5,6,117.0
INV-78832500037,2025-01-21,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,100% AGAVE TEQUILA,WILLIAM GRANT & SONS INC,MILAGRO REPOSADO,26.25,6,157.5
INV-78832500028,2025-01-21,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,AMERICAN BRANDIES,SAZERAC COMPANY  INC,PAUL MASSON GRANDE AMBER BRANDY VS,2.94,24,70.56
INV-79258600007,2025-02-03,BIG G FOOD STORE,MARENGO,IOWA,CANADIAN WHISKIES,HEAVEN HILL BRANDS,BLACK VELVET PET,9.0,12,108.0
INV-78334300018,2025-01-06,BROTHERS MARKET / WILLIAMSBURG,WILLIAMSBURG,IOWA,CREAM LIQUEURS,DIAGEO AMERICAS,BAILEYS ORIGINAL IRISH CREAM,24.74,12,296.88
INV-79344200015,2025-02-05,FREEMAN FOODS OF NORTH ENGLISH,NORTH ENGLISH,IOWA,WHISKEY LIQUEUR,SAZERAC COMPANY  INC,FIREBALL CINNAMON WHISKEY PET,24.0,6,144.0
INV-78786000041,2025-01-20,BIG G FOOD STORE,MARENGO,IOWA,AMERICAN SCHNAPPS,SAZERAC COMPANY  INC,MR BOSTON PEACH,7.5,12,90.0
INV-78786200027,2025-01-20,CASEY'S GENERAL STORE # 2774/AMANA,AMANA,IOWA,AMERICAN VODKAS,FIFTH GENERATION INC,TITOS HANDMADE VODKA MINI,19.2,10,192.0
INV-78319900016,2025-01-06,PRIMESTAR / MARENGO,MARENGO,IOWA,TENNESSEE WHISKIES,BROWN FORMAN CORP.,JACK DANIELS TENNESSEE HONEY,12.38,3,37.14
INV-78664800009,2025-01-15,FREEMAN FOODS OF NORTH ENGLISH,NORTH ENGLISH,IOWA,STRAIGHT BOURBON WHISKIES,SAZERAC COMPANY  INC,BENCHMARK OLD NO 8,10.5,2,21.0
INV-78381800007,2025-01-07,KARLS GROCERY / EDGEWOOD,EDGEWOOD,IOWA,IMPORTED VODKAS,PERNOD RICARD USA,ABSOLUT SWEDISH VODKA 80PRF,13.49,4,53.96
INV-79074700026,2025-01-27,CASEY'S GENERAL STORE #2769 / WILLIAMSBURG,WILLIAMSBURG,IOWA,100% AGAVE TEQUILA,JIM BEAM BRANDS,HORNITOS PLATA,22.5,4,90.0
INV-79074900002,2025-01-27,CASEY'S GENERAL STORE # 2528/ WILLIAMSBURG,WILLIAMSBURG,IOWA,CANADIAN WHISKIES,DIAGEO AMERICAS,CROWN ROYAL,26.24,6,157.44
INV-78397000002,2025-01-07,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,AMERICAN DRY GINS,PERNOD RICARD USA,SEAGRAMS EXTRA DRY GIN,6.33,24,151.92
INV-78338400009,2025-01-06,WILTON EXPRESS,WILTON,IOWA,AMERICAN VODKAS,FIFTH GENERATION INC,TITOS HANDMADE VODKA,15.0,12,180.0
INV-78900000001,2025-01-22,FREEMAN FOODS OF NORTH ENGLISH,NORTH ENGLISH,IOWA,CANADIAN WHISKIES,HEAVEN HILL BRANDS,BLACK VELVET,17.25,6,103.5
INV-78334400013,2025-01-06,BROTHERS MARKET / WILLIAMSBURG,WILLIAMSBURG,IOWA,AMERICAN VODKAS,DIAGEO AMERICAS,SMIRNOFF 80PRF PET,22.13,6,132.78
INV-79554300009,2025-02-12,FREEMAN FOODS OF NORTH ENGLISH,NORTH ENGLISH,IOWA,AMERICAN BRANDIES,LUXCO INC,PARAMOUNT BLACKBERRY BRANDY,17.63,6,105.78
INV-79102800001,2025-01-28,HOMETOWN FOODS / TRAER,TRAER,IOWA,IRISH WHISKIES,PERNOD RICARD USA,JAMESON,31.47,12,377.64
INV-78319800032,2025-01-06,BIG G FOOD STORE,MARENGO,IOWA,AMERICAN SCHNAPPS,SAZERAC COMPANY  INC,MR BOSTON BUTTERSCOTCH SCHNAPPS,7.5,12,90.0
INV-79736200004,2025-02-18,KUM & GO #1443 / WILLIAMSBURG,WILLIAMSBURG,IOWA,STRAIGHT BOURBON WHISKIES,KIRIN BEER & SPIRITS OF AMERICA INC / FOUR ROSES DISTILLERY,FOUR ROSES SMALL BATCH,27.75,4,111.0
INV-79068000039,2025-01-27,BIG G FOOD STORE,MARENGO,IOWA,MIXTO TEQUILA,LUXCO INC,JUAREZ SILVER,25.5,2,51.0
INV-79695100011,2025-02-17,CASEY'S GENERAL STORE #2769 / WILLIAMSBURG,WILLIAMSBURG,IOWA,100% AGAVE TEQUILA,"MAST-JAGERMEISTER US, INC",TEREMANA REPOSADO TEQUILA,26.1,6,156.6
INV-78755500010,2025-01-19,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,STRAIGHT BOURBON WHISKIES,SAZERAC COMPANY  INC,BUFFALO TRACE BOURBON,19.5,12,234.0
INV-79344200001,2025-02-05,FREEMAN FOODS OF NORTH ENGLISH,NORTH ENGLISH,IOWA,CANADIAN WHISKIES,JIM BEAM BRANDS,CANADIAN CLUB WHISKY,21.75,6,130.5
INV-78319800011,2025-01-06,BIG G FOOD STORE,MARENGO,IOWA,STRAIGHT BOURBON WHISKIES,SAZERAC COMPANY  INC,TEN HIGH,13.86,6,83.16
INV-78786200019,2025-01-20,CASEY'S GENERAL STORE # 2774/AMANA,AMANA,IOWA,AMERICAN VODKAS,LUXCO INC,HAWKEYE VODKA,11.25,12,135.0
INV-78786000020,2025-01-20,BIG G FOOD STORE,MARENGO,IOWA,NEUTRAL GRAIN SPIRITS,LUXCO INC,EVERCLEAR 151,13.5,4,54.0
INV-79704100051,2025-02-17,BIG G FOOD STORE,MARENGO,IOWA,TRIPLE SEC,LUXCO INC,JUAREZ TRIPLE SEC,3.75,3,11.25
INV-78755500017,2025-01-19,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,AMERICAN DRY GINS,PERNOD RICARD USA,SEAGRAMS EXTRA DRY GIN,13.49,4,53.96
INV-78557900014,2025-01-13,CASEY'S GENERAL STORE #2769 / WILLIAMSBURG,WILLIAMSBURG,IOWA,COCKTAILS/RTD,DIAGEO AMERICAS,BULLEIT OLD FASHIONED COCKTAIL,10.49,12,125.88
INV-79114900004,2025-01-28,KUM & GO #1443 / WILLIAMSBURG,WILLIAMSBURG,IOWA,CANADIAN WHISKIES,DIAGEO AMERICAS,CROWN ROYAL,26.24,8,209.92
INV-79962100014,2025-02-25,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,AMERICAN BRANDIES,E & J GALLO WINERY,E & J VS,4.83,24,115.92
INV-79068000025,2025-01-27,BIG G FOOD STORE,MARENGO,IOWA,COCKTAILS/RTD,SAZERAC COMPANY  INC,CHI-CHI'S SKINNY MARGARITA,9.75,6,58.5
INV-79795700017,2025-02-19,FREEMAN FOODS OF NORTH ENGLISH,NORTH ENGLISH,IOWA,CANADIAN WHISKIES,HEAVEN HILL BRANDS,BLACK VELVET PEACH CANADIAN WHISKEY,17.25,6,103.5
INV-78334400027,2025-01-06,BROTHERS MARKET / WILLIAMSBURG,WILLIAMSBURG,IOWA,MIXTO TEQUILA,PROXIMO,JOSE CUERVO ESPECIAL REPOSADO,22.5,12,270.0
INV-79258600006,2025-02-03,BIG G FOOD STORE,MARENGO,IOWA,CANADIAN WHISKIES,HEAVEN HILL BRANDS,BLACK VELVET RESERVE,22.5,30,675.0
INV-79258700002,2025-02-03,PRIMESTAR / MARENGO,MARENGO,IOWA,CANADIAN WHISKIES,DIAGEO AMERICAS,CROWN ROYAL REGAL APPLE,12.74,3,38.22
INV-79258600002,2025-02-03,BIG G FOOD STORE,MARENGO,IOWA,CANADIAN WHISKIES,HEAVEN HILL BRANDS,BLACK VELVET TOASTED CARAMEL,9.0,12,108.0
INV-79075000012,2025-01-27,THE DEPOT WILLIAMSBURG,WILLIAMSBURG,IOWA,SPICED RUM,DIAGEO AMERICAS,CAPTAIN MORGAN ORIGINAL SPICED MINI,7.2,1,7.2
INV-79704200013,2025-02-17,PRIMESTAR / MARENGO,MARENGO,IOWA,AMERICAN CORDIALS & LIQUEURS,SAZERAC COMPANY  INC,99 BRAND FRUIT PUNCH PET MINI,78.6,1,78.6
INV-79655900013,2025-02-14,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,AMERICAN VODKAS,LUXCO INC,HAWKEYE VODKA MINI,6.75,2,13.5
INV-78786200046,2025-01-20,CASEY'S GENERAL STORE # 2774/AMANA,AMANA,IOWA,WHISKEY LIQUEUR,SAZERAC COMPANY  INC,SOUTHERN COMFORT MINI,7.86,10,78.6
INV-79104900003,2025-01-28,KARLS GROCERY / EDGEWOOD,EDGEWOOD,IOWA,BLENDED WHISKIES,JIM BEAM BRANDS,KESSLER BLEND WHISKEY,10.76,1,10.76
INV-79704200016,2025-02-17,PRIMESTAR / MARENGO,MARENGO,IOWA,TENNESSEE WHISKIES,BROWN FORMAN CORP.,JACK DANIELS TENNESSEE HONEY,23.87,2,47.74
INV-78390200018,2025-01-07,KUM & GO #1443 / WILLIAMSBURG,WILLIAMSBURG,IOWA,AMERICAN VODKAS,"BLUE OX SPIRITS, INC.",BLUE OX VODKA,5.6,8,44.8
INV-78558000006,2025-01-13,CASEY'S GENERAL STORE # 2528/ WILLIAMSBURG,WILLIAMSBURG,IOWA,CANADIAN WHISKIES,HEAVEN HILL BRANDS,BLACK VELVET,9.0,12,108.0
INV-79988700003,2025-02-26,FREEMAN FOODS OF NORTH ENGLISH,NORTH ENGLISH,IOWA,STRAIGHT BOURBON WHISKIES,DIAGEO AMERICAS,BULLEIT BOURBON,26.99,12,323.88
INV-79301900005,2025-02-04,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,IMPORTED BRANDIES,MOET HENNESSY USA,HENNESSY VS,29.99,12,359.88
INV-79344200014,2025-02-05,FREEMAN FOODS OF NORTH ENGLISH,NORTH ENGLISH,IOWA,WHISKEY LIQUEUR,SAZERAC COMPANY  INC,FIREBALL CINNAMON WHISKEY PET,13.5,12,162.0
INV-78900100010,2025-01-22,FREEMAN FOODS OF NORTH ENGLISH,NORTH ENGLISH,IOWA,AMERICAN SCHNAPPS,LUXCO INC,PARAMOUNT PEPPERMINT SCHNAPPS PET,6.38,12,76.56
INV-78786100003,2025-01-20,PRIMESTAR / MARENGO,MARENGO,IOWA,CANADIAN WHISKIES,HEAVEN HILL BRANDS,BLACK VELVET,17.25,6,103.5
INV-79104900005,2025-01-28,KARLS GROCERY / EDGEWOOD,EDGEWOOD,IOWA,TENNESSEE WHISKIES,BROWN FORMAN CORP.,JACK DANIELS OLD #7 BLACK LABEL,49.92,6,299.52
INV-78562500017,2025-01-13,BIG G FOOD STORE,MARENGO,IOWA,IMPORTED CORDIALS & LIQUEURS,PARK STREET IMPORTS,LICOR 43 CHOCOLATE,24.74,1,24.74
INV-79704100042,2025-02-17,BIG G FOOD STORE,MARENGO,IOWA,SINGLE BARREL BOURBON WHISKIES,BACARDI USA INC,ANGELS ENVY TRIPLE OAK CASK,52.49,1,52.49
INV-79554300004,2025-02-12,FREEMAN FOODS OF NORTH ENGLISH,NORTH ENGLISH,IOWA,IRISH WHISKIES,PERNOD RICARD USA,JAMESON,26.24,3,78.72
INV-78334400007,2025-01-06,BROTHERS MARKET / WILLIAMSBURG,WILLIAMSBURG,IOWA,IMPORTED VODKAS,BACARDI USA INC,GREY GOOSE,22.49,3,67.47
INV-79655900001,2025-02-14,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,CANADIAN WHISKIES,DIAGEO AMERICAS,CROWN ROYAL VANILLA,26.24,4,104.96
INV-79695200009,2025-02-17,CASEY'S GENERAL STORE #2769 / WILLIAMSBURG,WILLIAMSBURG,IOWA,AMERICAN VODKAS,FIFTH GENERATION INC,TITOS HANDMADE VODKA,8.13,12,97.56
INV-79258800020,2025-02-03,CASEY'S GENERAL STORE # 2774/AMANA,AMANA,IOWA,NEUTRAL GRAIN SPIRITS FLAVORED,OLE SMOKY DISTILLERY LLC,OLE SMOKY BUTTER PECAN MOONSHINE,19.5,6,117.0
INV-79504400016,2025-02-11,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,IMPORTED BRANDIES,CAMPARI AMERICA,COURVOISIER VS COGNAC,7.5,24,180.0
INV-79736200014,2025-02-18,KUM & GO #1443 / WILLIAMSBURG,WILLIAMSBURG,IOWA,AMERICAN VODKAS,LUXCO INC,HAWKEYE VODKA,11.25,3,33.75
INV-79988700002,2025-02-26,FREEMAN FOODS OF NORTH ENGLISH,NORTH ENGLISH,IOWA,CANADIAN WHISKIES,DIAGEO AMERICAS,CROWN ROYAL,26.24,12,314.88
INV-79988700007,2025-02-26,FREEMAN FOODS OF NORTH ENGLISH,NORTH ENGLISH,IOWA,AMERICAN VODKAS,PHILLIPS BEVERAGE,PHILLIPS VODKA,11.51,6,69.06
INV-79947200009,2025-02-25,HOMETOWN FOODS / TRAER,TRAER,IOWA,AMERICAN VODKAS,FIFTH GENERATION INC,TITOS HANDMADE VODKA,28.5,6,171.0
INV-79695300022,2025-02-17,BROTHERS MARKET / WILLIAMSBURG,WILLIAMSBURG,IOWA,AMERICAN SCHNAPPS,LUXCO INC,PARAMOUNT PEPPERMINT SCHNAPPS,12.0,6,72.0
INV-79919600006,2025-02-24,CASEY'S GENERAL STORE # 2528/ WILLIAMSBURG,WILLIAMSBURG,IOWA,CANADIAN WHISKIES,HEAVEN HILL BRANDS,BLACK VELVET,17.25,12,207.0
INV-78319800037,2025-01-06,BIG G FOOD STORE,MARENGO,IOWA,STRAIGHT BOURBON WHISKIES,BROWN FORMAN CORP.,SOOH WOODFORD RESERVE MINI,27.0,1,27.0
INV-79258700001,2025-02-03,PRIMESTAR / MARENGO,MARENGO,IOWA,CANADIAN WHISKIES,DIAGEO AMERICAS,CROWN ROYAL REGAL APPLE MINI,8.64,2,17.28
INV-79075000002,2025-01-27,THE DEPOT WILLIAMSBURG,WILLIAMSBURG,IOWA,CANADIAN WHISKIES,DIAGEO AMERICAS,CROWN ROYAL REGAL APPLE MINI,8.64,2,17.28
INV-79074700002,2025-01-27,CASEY'S GENERAL STORE #2769 / WILLIAMSBURG,WILLIAMSBURG,IOWA,CANADIAN WHISKIES,DIAGEO AMERICAS,CROWN ROYAL REGAL APPLE MINI,8.64,10,86.4
INV-78338400005,2025-01-06,WILTON EXPRESS,WILTON,IOWA,STRAIGHT BOURBON WHISKIES,JIM BEAM BRANDS,JIM BEAM APPLE MINI,10.5,12,126.0
INV-79704200020,2025-02-17,PRIMESTAR / MARENGO,MARENGO,IOWA,100% AGAVE TEQUILA,BACARDI USA INC,PATRON ANEJO,47.25,1,47.25
INV-79114900029,2025-01-28,KUM & GO #1443 / WILLIAMSBURG,WILLIAMSBURG,IOWA,WHITE RUM,BACARDI USA INC,BACARDI SUPERIOR,7.5,4,30.0
INV-78271300016,2025-01-03,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,SCOTCH WHISKIES,DIAGEO AMERICAS,BUCHANAN SPECIAL RESERVE 18YR,59.99,3,179.97
INV-79736200022,2025-02-18,KUM & GO #1443 / WILLIAMSBURG,WILLIAMSBURG,IOWA,FLAVORED RUM,PERNOD RICARD USA,MALIBU COCONUT,13.49,4,53.96
INV-78390200030,2025-01-07,KUM & GO #1443 / WILLIAMSBURG,WILLIAMSBURG,IOWA,FLAVORED RUM,PERNOD RICARD USA,MALIBU COCONUT,13.49,4,53.96
INV-78334400006,2025-01-06,BROTHERS MARKET / WILLIAMSBURG,WILLIAMSBURG,IOWA,BLENDED WHISKIES,WESTERN SPIRITS BEVERAGE,BIRD DOG SALTED CARAMEL,17.25,6,103.5
INV-79107800008,2025-01-28,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,AMERICAN VODKAS,INFINIUM SPIRITS,SEAGRAMS EXTRA SMOOTH VODKA,2.64,24,63.36
INV-79107800013,2025-01-28,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,AMERICAN BRANDIES,E & J GALLO WINERY,E & J VS,3.21,24,77.04
INV-78786200033,2025-01-20,CASEY'S GENERAL STORE # 2774/AMANA,AMANA,IOWA,WHISKEY LIQUEUR,SAZERAC COMPANY  INC,FIREBALL CINNAMON WHISKEY,13.5,12,162.0
INV-79504400012,2025-02-11,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,AMERICAN VODKAS,LUXCO INC,HAWKEYE VODKA,11.25,6,67.5
INV-78900100006,2025-01-22,FREEMAN FOODS OF NORTH ENGLISH,NORTH ENGLISH,IOWA,FLAVORED RUM,PERNOD RICARD USA,MALIBU COCONUT,24.74,6,148.44
INV-78786200020,2025-01-20,CASEY'S GENERAL STORE # 2774/AMANA,AMANA,IOWA,AMERICAN VODKAS,MCCORMICK DISTILLING CO.,MCCORMICK 80PRF VODKA PET,2.76,48,132.48
INV-79725700009,2025-02-18,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,AMERICAN BRANDIES,E & J GALLO WINERY,E & J VS,4.83,48,231.84
INV-79068000008,2025-01-27,BIG G FOOD STORE,MARENGO,IOWA,AMERICAN DRY GINS,LAIRD & COMPANY,FIVE O'CLOCK GIN,5.99,2,11.98
INV-79478800004,2025-02-10,BIG G FOOD STORE,MARENGO,IOWA,STRAIGHT BOURBON WHISKIES,HEAVEN HILL BRANDS,EVAN WILLIAMS BLACK,14.25,3,42.75
INV-78586600025,2025-01-14,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,100% AGAVE TEQUILA,DIAGEO AMERICAS,DON JULIO ANEJO,53.99,6,323.94
INV-79074900012,2025-01-27,CASEY'S GENERAL STORE # 2528/ WILLIAMSBURG,WILLIAMSBURG,IOWA,WHISKEY LIQUEUR,SAZERAC COMPANY  INC,FIREBALL CINNAMON WHISKEY,1.5,96,144.0
INV-79695300017,2025-02-17,BROTHERS MARKET / WILLIAMSBURG,WILLIAMSBURG,IOWA,COCKTAILS/RTD,SAZERAC COMPANY  INC,CHI-CHI'S MEXICAN MUDSLIDE,9.75,6,58.5
INV-79258600023,2025-02-03,BIG G FOOD STORE,MARENGO,IOWA,FLAVORED GIN,PERNOD RICARD USA,SEAGRAMS LIME TWISTED GIN,11.99,2,23.98
INV-79901700002,2025-02-24,CASEY'S GENERAL STORE # 2774/AMANA,AMANA,IOWA,WHISKEY LIQUEUR,SAZERAC COMPANY  INC,FIREBALL CINNAMON WHISKEY 100ML CARRIER,9.0,16,144.0
INV-79704100008,2025-02-17,BIG G FOOD STORE,MARENGO,IOWA,STRAIGHT BOURBON WHISKIES,HEAVEN HILL BRANDS,EVAN WILLIAMS BLACK,26.25,2,52.5
INV-78586700009,2025-01-14,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,100% AGAVE TEQUILA,PROXIMO,1800 TEQUILA BLANCO,7.01,24,168.24
INV-79258800005,2025-02-03,CASEY'S GENERAL STORE # 2774/AMANA,AMANA,IOWA,CANADIAN WHISKIES,DIAGEO AMERICAS,CROWN ROYAL,26.24,12,314.88
INV-79504400011,2025-02-11,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,AMERICAN VODKAS,LUXCO INC,HAWKEYE VODKA,5.25,12,63.0
INV-78832500021,2025-01-21,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,IMPORTED BRANDIES,CAMPARI AMERICA,COURVOISIER VS COGNAC,15.75,24,378.0
INV-79504400023,2025-02-11,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,AMERICAN BRANDIES,SAZERAC COMPANY  INC,PAUL MASSON GRANDE AMBER BRANDY VS,7.5,12,90.0
INV-78900100001,2025-01-22,FREEMAN FOODS OF NORTH ENGLISH,NORTH ENGLISH,IOWA,CANADIAN WHISKIES,DIAGEO AMERICAS,CROWN ROYAL PEACH,50.99,6,305.94
INV-79736200002,2025-02-18,KUM & GO #1443 / WILLIAMSBURG,WILLIAMSBURG,IOWA,CANADIAN WHISKIES,DIAGEO AMERICAS,CROWN ROYAL MINI,8.64,3,25.92
INV-79901400016,2025-02-24,BIG G FOOD STORE,MARENGO,IOWA,AMERICAN BRANDIES,LUXCO INC,PARAMOUNT PEACH BRANDY,8.63,2,17.26
INV-78786000028,2025-01-20,BIG G FOOD STORE,MARENGO,IOWA,IMPORTED CORDIALS & LIQUEURS,DISARONNO INTERNATIONAL,DISARONNO AMARETTO,23.73,2,47.46
INV-78334400011,2025-01-06,BROTHERS MARKET / WILLIAMSBURG,WILLIAMSBURG,IOWA,AMERICAN VODKAS,MCCORMICK DISTILLING CO.,MCCORMICK 80PRF VODKA PET,12.36,1,12.36
INV-78558000004,2025-01-13,CASEY'S GENERAL STORE # 2528/ WILLIAMSBURG,WILLIAMSBURG,IOWA,CANADIAN WHISKIES,DIAGEO AMERICAS,CROWN ROYAL REGAL APPLE,12.74,8,101.92
INV-78832500023,2025-01-21,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,IMPORTED BRANDIES,REMY COINTREAU USA INC,REMY MARTIN VSOP FLASK,18.08,12,216.96
INV-79438900027,2025-02-07,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,WHISKEY LIQUEUR,SAZERAC COMPANY  INC,FIREBALL CINNAMON WHISKEY PET,13.5,12,162.0
INV-78813900006,2025-01-21,WILTON EXPRESS,WILTON,IOWA,WHISKEY LIQUEUR,SAZERAC COMPANY  INC,FIREBALL CINNAMON WHISKEY,3.75,48,180.0
INV-78664800016,2025-01-15,FREEMAN FOODS OF NORTH ENGLISH,NORTH ENGLISH,IOWA,IMPORTED DRY GINS,DIAGEO AMERICAS,TANQUERAY GIN,39.74,6,238.44
INV-79322300008,2025-02-04,HOMETOWN FOODS / TRAER,TRAER,IOWA,COCKTAILS/RTD,PROXIMO,JOSE CUERVO AUTHENTIC GRAPEFRUIT TANGERINE MARGARITA,13.11,6,78.66
INV-79901500002,2025-02-24,PRIMESTAR / MARENGO,MARENGO,IOWA,CANADIAN WHISKIES,HEAVEN HILL BRANDS,BLACK VELVET,17.25,12,207.0
INV-79478800023,2025-02-10,BIG G FOOD STORE,MARENGO,IOWA,COFFEE LIQUEURS,PERNOD RICARD USA,KAHLUA COFFEE,20.99,48,1007.52
INV-79344200002,2025-02-05,FREEMAN FOODS OF NORTH ENGLISH,NORTH ENGLISH,IOWA,CANADIAN WHISKIES,DIAGEO AMERICAS,CROWN ROYAL PEACH,12.74,2,25.48
INV-78320000001,2025-01-06,PRIMESTAR / MARENGO,MARENGO,IOWA,TEMPORARY & SPECIALTY PACKAGES,SAZERAC COMPANY  INC,STAGG BOURBON,45.0,1,45.0
INV-79478900012,2025-02-10,PRIMESTAR / MARENGO,MARENGO,IOWA,100% AGAVE TEQUILA,DIAGEO AMERICAS,CASAMIGOS BLANCO,41.24,1,41.24
INV-79695400007,2025-02-17,THE DEPOT WILLIAMSBURG,WILLIAMSBURG,IOWA,STRAIGHT BOURBON WHISKIES,JIM BEAM BRANDS,JIM BEAM,17.25,3,51.75
INV-79114900025,2025-01-28,KUM & GO #1443 / WILLIAMSBURG,WILLIAMSBURG,IOWA,AMERICAN FLAVORED VODKA,E & J GALLO WINERY,NEW AMSTERDAM PINK WHITNEY,12.0,4,48.0
INV-79962100011,2025-02-25,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,AMERICAN BRANDIES,E & J GALLO WINERY,E & J VS,1.86,48,89.28
INV-79655900003,2025-02-14,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,CANADIAN WHISKIES,DIAGEO AMERICAS,CROWN ROYAL REGAL APPLE,12.74,24,305.76
INV-78381800012,2025-01-07,KARLS GROCERY / EDGEWOOD,EDGEWOOD,IOWA,IMPORTED SCHNAPPS,SAZERAC COMPANY  INC,DR MCGILLICUDDYS CHERRY,13.34,12,160.08
INV-79074800011,2025-01-27,BROTHERS MARKET / WILLIAMSBURG,WILLIAMSBURG,IOWA,AMERICAN VODKAS,MCCORMICK DISTILLING CO.,MCCORMICK 80PRF VODKA PET,12.36,6,74.16
INV-78786100009,2025-01-20,PRIMESTAR / MARENGO,MARENGO,IOWA,AMERICAN VODKAS,FIFTH GENERATION INC,TITOS HANDMADE VODKA,28.5,6,171.0
INV-78586600010,2025-01-14,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,COCKTAILS/RTD,PROXIMO,1800 ULTIMATE MARGARITA,15.06,6,90.36
INV-78334300020,2025-01-06,BROTHERS MARKET / WILLIAMSBURG,WILLIAMSBURG,IOWA,WHISKEY LIQUEUR,SAZERAC COMPANY  INC,SOUTHERN COMFORT,19.46,12,233.52
INV-79068000024,2025-01-27,BIG G FOOD STORE,MARENGO,IOWA,COCKTAILS/RTD,SAZERAC COMPANY  INC,CHI-CHI'S CHOCOLATE MALT,9.75,12,117.0
INV-78755500033,2025-01-19,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,WHISKEY LIQUEUR,SAZERAC COMPANY  INC,FIREBALL CINNAMON WHISKEY MINI SLEEVE,6.56,12,78.72
INV-78319800017,2025-01-06,BIG G FOOD STORE,MARENGO,IOWA,AMERICAN BRANDIES,E & J GALLO WINERY,E & J VSOP,10.86,2,21.72
INV-78586600013,2025-01-14,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,COCKTAILS/RTD,PROXIMO,1800 ULTIMATE WATERMELON MARGARITA,15.06,6,90.36
INV-79438900032,2025-02-07,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,NEUTRAL GRAIN SPIRITS FLAVORED,OLE SMOKY DISTILLERY LLC,OLE SMOKY WHITE CHOCOLATE STRAWBERRY MOONSHINE MINI,13.13,2,26.26
INV-79736200024,2025-02-18,KUM & GO #1443 / WILLIAMSBURG,WILLIAMSBURG,IOWA,SPICED RUM,DIAGEO AMERICAS,CAPTAIN MORGAN ORIGINAL SPICED,7.86,3,23.58
INV-78755500038,2025-01-19,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,AMERICAN FLAVORED VODKA,PARK STREET IMPORTS,THE ORIGINAL PICKLE SHOT DILL PICKLE VODKA,12.51,3,37.53
INV-79725700001,2025-02-18,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,AMERICAN VODKAS,E & J GALLO WINERY,NEW AMSTERDAM 80PRF,2.99,48,143.52
INV-79901400010,2025-02-24,BIG G FOOD STORE,MARENGO,IOWA,AMERICAN VODKAS,FIFTH GENERATION INC,TITOS HANDMADE VODKA,28.5,180,5130.0
INV-78271300025,2025-01-03,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,TENNESSEE WHISKIES,BROWN FORMAN CORP.,JACK DANIELS TENNESSEE HONEY MINI,17.25,3,51.75
INV-79273800012,2025-02-03,WILTON EXPRESS,WILTON,IOWA,CANADIAN WHISKIES,HEAVEN HILL BRANDS,BLACK VELVET APPLE MINI,13.31,8,106.48
INV-79344100010,2025-02-05,CASEY'S GENERAL STORE #2488 / N ENGLISH,NORTH ENGLISH,IOWA,AMERICAN FLAVORED VODKA,E & J GALLO WINERY,NEW AMSTERDAM PINK WHITNEY MINI CLEAR-SHRINK,6.92,12,83.04
INV-78755500032,2025-01-19,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,SCOTCH WHISKIES,DIAGEO AMERICAS,JOHNNIE WALKER GOLD LABEL RESERVE,60.0,3,180.0
